location_id,latitude,longitude,segment_id,footfall_proxy,mobility_type,time_period,source,source_url,is_synthetic
MOB_1019,28.64045,77.23,1019,2127,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1020,28.65735,77.2353,1020,2859,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1021,28.67385,77.22625,1021,3518,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1022,28.69185,77.2078,1022,359,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1023,28.70895,77.1758,1023,369,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1024,28.7258,77.14545,1024,1123,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1025,28.64515,77.26785,1025,3755,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1026,28.6573,77.29185,1026,3097,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1027,28.6705,77.27845,1027,794,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1028,28.6835,77.28545,1028,83,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1029,28.5884,77.2704,1029,3281,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
MOB_1030,28.5355,77.27735,1030,635,Transit Hub & Commercial Pedestrian Proxy,Evening Peak (18:00-22:00),DMRC Metro Exit GTFS & Bus Stop Density Model,https://data.opencity.in/dataset/delhi-metro-gtfs,True
