segment_id,segment_name,district,mapping_method,confidence,midpoint_latitude,midpoint_longitude,distance_m,estimated_travel_time_s,road_type,walkable,population,population_density,total_reported_cases,cases_per_100k,severity_weighted_cases_per_100k,recent_cases_per_100k,recent_severity_per_100k,crime_trend_slope,historical_baseline,lighting_score,cctv_coverage_score,footfall_proxy,distance_to_police_m,distance_to_hospital_m,distance_to_medical_facility_m,distance_to_public_toilet_m,distance_to_nearest_amenity_m,nearest_hotspot_distance_m,nearest_hotspot_intensity,has_police_nearby,has_hospital_nearby,has_public_toilet_nearby,lighting_data_synthetic,cctv_data_synthetic,mobility_data_synthetic,hotspot_data_synthetic
1011,Lajpat Nagar to Kalkaji,South East,midpoint/locality administrative mapping,high,28.55865,77.25055,2700,216,primary,True,2283000,22382,5845,256.0228,186.9665,319.8292,233.5149,-2.6,16.4164,93,60,2683,1350.7559653368787,2343.241841303212,1459.9210711254018,1228.5035712505503,1228.5035712505503,3789.415956390899,84.0,False,False,False,True,True,True,True
1012,Kalkaji to Okhla Industrial Area,South East,midpoint/locality administrative mapping,high,28.53935,77.26499999999999,2500,200,secondary,True,2283000,22382,5845,256.0228,186.9665,319.8292,233.5149,-2.6,16.4164,61,26,944,1222.4648156336448,1818.8002805314652,1818.8002805314652,3797.0168820180593,3797.0168820180593,1222.4920138909833,84.0,False,True,False,True,True,True,True
1013,AIIMS to RML Hospital (Sri Aurobindo Marg),South West,midpoint/locality administrative mapping,medium,28.59565,77.20625,6400,512,primary,True,2292958,5459,4743,206.8507,150.8483,258.4696,188.4349,-1.2286,8.9431,72,80,2220,1084.631075339318,2910.3078524021416,2910.3078524021416,2097.5011052175064,2097.5011052175064,5343.95967335928,88.0,False,False,False,True,True,True,True
1014,RML to Connaught Place,New Delhi,midpoint/locality administrative mapping,high,28.6284,77.211,1900,152,primary,True,142004,4057,951,669.6994,499.8294,836.5257,623.9652,-0.4857,100.0,87,72,2494,478.48093658249473,957.545069750723,845.1950479536133,850.9092885728282,850.9092885728282,1675.0553949470518,88.0,True,True,True,True,True,True,True
1015,Connaught Place to Karol Bagh,Central,midpoint/locality administrative mapping,medium,28.6421,77.20485,3300,264,primary,True,582320,23293,2052,352.3836,259.0023,439.8612,323.3808,-2.0571,35.8356,95,51,2192,920.6057991988579,1550.5661119107306,1550.5661119107306,1561.5870531164833,1561.5870531164833,920.6057991988579,88.0,True,True,False,True,True,True,True
1016,Karol Bagh to Rajouri Garden,West,midpoint/locality administrative mapping,medium,28.6495,77.15585,7100,568,trunk,True,2543243,19715,6443,253.338,184.668,316.1554,230.4084,-7.5143,8.8522,81,58,2153,3315.894335509663,2290.380884612106,2290.380884612106,3490.7204594743525,3490.7204594743525,5736.96632219391,88.0,False,False,False,True,True,True,True
1017,Rajouri Garden to Janakpuri,West,midpoint/locality administrative mapping,high,28.63445,77.10445,4300,344,primary,True,2543243,19715,6443,253.338,184.668,316.1554,230.4084,-7.5143,8.8522,98,55,2866,824.4188836556191,1102.0439086838223,1102.0439086838223,8718.711889149541,8718.711889149541,8086.285629078208,85.0,True,True,False,True,True,True,True
1018,Janakpuri to Dwarka Sec 23,South West,midpoint/locality administrative mapping,high,28.5888,77.07085000000001,8100,648,primary,True,2292958,5459,4743,206.8507,150.8483,258.4696,188.4349,-1.2286,8.9431,97,65,4139,3968.7062293698127,1342.1627508245456,1342.1627508245456,13719.578095403336,13665.67679103301,12210.538185679276,85.0,False,True,False,True,True,True,True
1019,CP to Daryaganj,Central,midpoint/locality administrative mapping,high,28.64045,77.22999999999999,2800,224,primary,True,582320,23293,2052,352.3836,259.0023,439.8612,323.3808,-2.0571,35.8356,100,62,2127,1338.8600414575765,1086.5647141591824,1086.5647141591824,1444.0948991418409,1309.3939679167333,1571.9253096447999,88.0,False,True,False,True,True,True,True
1020,Daryaganj to Kashmere Gate,North,midpoint/locality administrative mapping,medium,28.65735,77.2353,2300,184,primary,True,887978,14799,2583,290.8856,212.5678,363.3649,265.5221,-1.2286,25.0511,88,75,2859,419.99527990481124,1695.7139074849822,1695.7139074849822,501.3722696773286,501.3722696773286,2591.3091829093505,88.0,True,True,True,True,True,True,True
1021,Kashmere Gate to Civil Lines,North,midpoint/locality administrative mapping,high,28.67385,77.22625,1800,144,primary,True,887978,14799,2583,290.8856,212.5678,363.3649,265.5221,-1.2286,25.0511,90,69,3518,899.4536378262446,1118.4248675148617,1118.4248675148617,1934.647251767626,814.7919091285185,3605.2332489685446,88.0,True,True,False,True,True,True,True
1022,Civil Lines to Model Town,North,midpoint/locality administrative mapping,medium,28.691850000000002,77.20779999999999,3600,288,secondary,True,887978,14799,2583,290.8856,212.5678,363.3649,265.5221,-1.2286,25.0511,74,46,359,371.00331734976663,2240.3701566943887,2240.3701566943887,4468.235904329628,3472.061279030648,5445.550668722064,88.0,True,False,False,True,True,True,True
1023,Model Town to Shalimar Bagh,North West,midpoint/locality administrative mapping,medium,28.70895,77.17580000000001,3800,304,secondary,True,3656539,8310,9742,266.4268,194.0268,332.8995,242.3351,-2.8,18.0429,64,38,369,1842.2399278000414,5518.796343934491,5518.796343934491,6504.322349078504,6504.322349078504,8214.954275079734,88.0,False,False,False,True,True,True,True
1024,Shalimar Bagh to Rohini Sec 18,North West,midpoint/locality administrative mapping,high,28.7258,77.14545,3300,264,secondary,True,3656539,8310,9742,266.4268,194.0268,332.8995,242.3351,-2.8,18.0429,54,18,1123,1712.226353757866,3193.9451745531337,3193.9451745531337,9345.399185679647,9345.399185679647,8394.31777128385,85.0,False,False,False,True,True,True,True
1025,Daryaganj to Preet Vihar (Vikas Marg),East,midpoint/locality administrative mapping,medium,28.64515,77.26785,5700,456,trunk,True,1709346,26708,4769,278.9956,203.6906,347.9986,254.0699,-7.2857,14.1166,80,72,3755,1867.1848277273516,2811.6416080506965,2811.6416080506965,3895.577166551529,2310.35449506413,2596.956097785589,92.0,False,False,False,True,True,True,True
1026,Preet Vihar to Shahdara,East,midpoint/locality administrative mapping,medium,28.6573,77.29185,3400,272,primary,True,1709346,26708,4769,278.9956,203.6906,347.9986,254.0699,-7.2857,14.1166,87,72,3097,1721.4763765557398,3181.181301272154,3181.181301272154,6015.706556355491,4602.216766902573,2604.96940052512,92.0,False,False,False,True,True,True,True
1027,Shahdara to Seelampur,North East,midpoint/locality administrative mapping,medium,28.6705,77.27844999999999,2100,168,secondary,True,2241624,36155,5312,236.9711,172.603,295.7633,215.3711,-5.7714,8.1898,47,34,794,1005.3900672793679,3528.1206585822597,3528.1206585822597,4948.000599999725,3889.804118610865,1005.4083188364581,92.0,False,False,False,True,True,True,True
1028,Seelampur to Nand Nagri,North East,midpoint/locality administrative mapping,high,28.683500000000002,77.28545,4700,376,secondary,True,2241624,36155,5312,236.9711,172.603,295.7633,215.3711,-5.7714,8.1898,58,41,83,1258.8140686880931,2450.897686329507,2450.897686329507,6153.839279917016,5321.719732832264,2355.392868112787,86.0,False,False,False,True,True,True,True
1029,Lajpat Nagar to Mayur Vihar (DND Link),South East,midpoint/locality administrative mapping,medium,28.5884,77.2704,6800,544,trunk,True,2283000,22382,5845,256.0228,186.9665,319.8292,233.5149,-2.6,16.4164,95,71,3281,3531.5421694520314,2936.843817293756,2936.843817293756,3485.1941259688256,3485.1941259688256,6516.491117250378,84.0,False,False,False,True,True,True,True
1030,Okhla Ind Area to Sarita Vihar,South East,midpoint/locality administrative mapping,high,28.5355,77.27735,1800,144,secondary,True,2283000,22382,5845,256.0228,186.9665,319.8292,233.5149,-2.6,16.4164,38,22,635,873.3083623879686,873.2860050155721,873.2860050155721,4881.652623343888,4881.652623343888,873.3083623879686,84.0,True,True,False,True,True,True,True
