id,district,police_station,crime_category,crime_subcategory,reported_cases,severity,year,month,source,source_url,data_precision,is_synthetic
19,South,South Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,15,7,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
20,South East,South East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,11,7,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
21,South West,South West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,9,7,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
22,West,West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,13,7,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
23,Central,Central Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,5,8,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
24,East,East Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,13,8,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
25,New Delhi,New Delhi Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,3,8,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
26,North,North Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,6,8,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
27,North East,North East Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,15,8,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
28,North West,North West Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,24,8,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
29,Shahdara,Shahdara Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,9,8,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
30,South,South Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,21,8,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
31,South East,South East Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,18,8,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
32,South West,South West Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,14,8,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
33,West,West Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,16,8,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
34,Central,Central Central PS,Stalking,Sec 354D IPC,3,6,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
35,East,East Central PS,Stalking,Sec 354D IPC,8,6,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
36,New Delhi,New Delhi Central PS,Stalking,Sec 354D IPC,1,6,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
37,North,North Central PS,Stalking,Sec 354D IPC,4,6,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
38,North East,North East Central PS,Stalking,Sec 354D IPC,9,6,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
39,North West,North West Central PS,Stalking,Sec 354D IPC,14,6,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
40,Shahdara,Shahdara Central PS,Stalking,Sec 354D IPC,7,6,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
41,South,South Central PS,Stalking,Sec 354D IPC,11,6,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
42,South East,South East Central PS,Stalking,Sec 354D IPC,10,6,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
43,South West,South West Central PS,Stalking,Sec 354D IPC,7,6,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
44,West,West Central PS,Stalking,Sec 354D IPC,11,6,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
45,Central,Central Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,6,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
46,East,East Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,13,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
47,New Delhi,New Delhi Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,3,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
48,North,North Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,7,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
49,North East,North East Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,14,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
50,North West,North West Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,28,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
51,Shahdara,Shahdara Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,8,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
52,South,South Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,16,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
53,South East,South East Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,13,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
54,South West,South West Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,11,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
55,West,West Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,16,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
56,Central,Central Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
57,East,East Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
58,New Delhi,New Delhi Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
59,North,North Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
60,North East,North East Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
61,North West,North West Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
62,Shahdara,Shahdara Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
63,South,South Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
64,South East,South East Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
65,South West,South West Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
66,West,West Central PS,Dowry Deaths,Sec 304B IPC,1,9,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
67,Central,Central Central PS,Voyeurism,Sec 354C IPC,6,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
68,East,East Central PS,Voyeurism,Sec 354C IPC,10,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
69,New Delhi,New Delhi Central PS,Voyeurism,Sec 354C IPC,2,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
70,North,North Central PS,Voyeurism,Sec 354C IPC,6,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
71,North East,North East Central PS,Voyeurism,Sec 354C IPC,15,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
72,North West,North West Central PS,Voyeurism,Sec 354C IPC,26,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
73,Shahdara,Shahdara Central PS,Voyeurism,Sec 354C IPC,9,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
74,South,South Central PS,Voyeurism,Sec 354C IPC,15,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
75,South East,South East Central PS,Voyeurism,Sec 354C IPC,14,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
76,South West,South West Central PS,Voyeurism,Sec 354C IPC,11,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
77,West,West Central PS,Voyeurism,Sec 354C IPC,17,5,2018,1,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
78,Central,Central Central PS,Rape,Sec 376 IPC,5,9,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
79,East,East Central PS,Rape,Sec 376 IPC,13,9,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
80,New Delhi,New Delhi Central PS,Rape,Sec 376 IPC,2,9,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
81,North,North Central PS,Rape,Sec 376 IPC,6,9,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
82,North East,North East Central PS,Rape,Sec 376 IPC,14,9,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
83,North West,North West Central PS,Rape,Sec 376 IPC,26,9,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
84,Shahdara,Shahdara Central PS,Rape,Sec 376 IPC,9,9,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
85,South,South Central PS,Rape,Sec 376 IPC,19,9,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
86,South East,South East Central PS,Rape,Sec 376 IPC,15,9,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
87,South West,South West Central PS,Rape,Sec 376 IPC,12,9,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
88,West,West Central PS,Rape,Sec 376 IPC,16,9,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
89,Central,Central Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,4,7,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
90,East,East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,10,7,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
91,New Delhi,New Delhi Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,2,7,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
92,North,North Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,5,7,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
93,North East,North East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,11,7,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
94,North West,North West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,23,7,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
95,Shahdara,Shahdara Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,7,7,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
96,South,South Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,13,7,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
97,South East,South East Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,12,7,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
98,South West,South West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,9,7,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
99,West,West Central PS,Assault on Women with Intent to Outrage Modesty,Sec 354 IPC,16,7,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
100,Central,Central Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,4,8,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
101,East,East Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,10,8,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
102,New Delhi,New Delhi Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,2,8,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
103,North,North Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,6,8,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
104,North East,North East Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,10,8,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
105,North West,North West Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,22,8,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
106,Shahdara,Shahdara Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,8,8,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
107,South,South Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,16,8,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
108,South East,South East Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,14,8,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
109,South West,South West Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,9,8,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
110,West,West Central PS,Kidnapping & Abduction of Women,Sec 363/366 IPC,12,8,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
111,Central,Central Central PS,Stalking,Sec 354D IPC,3,6,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
112,East,East Central PS,Stalking,Sec 354D IPC,8,6,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
113,New Delhi,New Delhi Central PS,Stalking,Sec 354D IPC,1,6,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
114,North,North Central PS,Stalking,Sec 354D IPC,4,6,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
115,North East,North East Central PS,Stalking,Sec 354D IPC,8,6,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
116,North West,North West Central PS,Stalking,Sec 354D IPC,14,6,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
117,Shahdara,Shahdara Central PS,Stalking,Sec 354D IPC,5,6,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
118,South,South Central PS,Stalking,Sec 354D IPC,11,6,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
119,South East,South East Central PS,Stalking,Sec 354D IPC,11,6,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
120,South West,South West Central PS,Stalking,Sec 354D IPC,7,6,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
121,West,West Central PS,Stalking,Sec 354D IPC,10,6,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
122,Central,Central Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,5,5,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
123,East,East Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,11,5,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
124,New Delhi,New Delhi Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,3,5,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
125,North,North Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,7,5,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
126,North East,North East Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,12,5,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
127,North West,North West Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,24,5,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
128,Shahdara,Shahdara Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,8,5,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
129,South,South Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,16,5,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
130,South East,South East Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,12,5,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
131,South West,South West Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,12,5,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
132,West,West Central PS,Cruelty by Husband or Relatives,Sec 498A IPC,16,5,2018,2,NCRB Crime in India & Delhi Police Statistical Handbook,https://ncrb.gov.in / https://delhipolice.gov.in,District-Level Aggregate,False
